Tag_ID,Length,Width,Exterior_Trt,Tissue_Trt,Preserv_Trt,Overall_Trt,Fluid_mL,Vial_Number,Tray,Date,Time_extracted,Time_in_table,Date_Time_Dead,Notes,Time_extracted,Lifespan_days,BlueCrab_Confounding_Deaths
D167,34.5,26,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20070,RelaxMantle_16_146,7/21/2022,1:38:58 PM,2:15:00 PM,07/28/2022 12:04:00,potentially a bit of gill tissue,7/21/2022 13:38:58,6.934051331,
D161,35.2,24,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20072,RelaxMantle_16_146,7/21/2022,1:40:59 PM,2:15:00 PM,,,7/21/2022 13:40:59,,YES
D183,33.4,19.2,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20074,RelaxMantle_16_146,7/21/2022,1:42:19 PM,2:15:00 PM,7/26/2022 18:34:00,,7/21/2022 13:42:19,5.202553993,
D179,34.4,25,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20075,RelaxMantle_16_146,7/21/2022,1:43:17 PM,2:15:00 PM,07/24/2022 9:58:00,,7/21/2022 13:43:17,2.843557812,
D113,31.2,23.1,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20077,RelaxMantle_16_146,7/21/2022,1:45:53 PM,2:15:00 PM,7/23/2022 9:41:00,,7/21/2022 13:45:53,1.829944178,
D119,38.8,24.8,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20078,RelaxMantle_16_146,7/21/2022,1:46:55 PM,2:15:00 PM,,,7/21/2022 13:46:55,,YES
D033,37.2,30.7,RelaxEpsom,Mantle,Etoh,RelaxEpsom_Mantle_Etoh,,20079,RelaxMantle_16_146,7/21/2022,1:53:48 PM,2:15:00 PM,,,7/21/2022 13:53:48,,YES
D010,40.9,25.9,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20048,RelaxSwab_13-175,7/21/2022,12:41:15 PM,1:20:00 PM,,,7/21/2022 12:41:15,,
D034,38.8,21.4,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20049,RelaxSwab_13-175,7/21/2022,12:42:06 PM,1:20:00 PM,7/22/2022 10:46:00,,7/21/2022 12:42:06,0.9193715162,
D132,34.4,23.7,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20050,RelaxSwab_13-175,7/21/2022,12:42:59 PM,1:20:00 PM,07/24/2022 9:58:00,used reverse forceps to pry open a bit,7/21/2022 12:42:59,2.88542985,
D122,40.6,26.7,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20052,RelaxSwab_13-175,7/21/2022,12:46:34 PM,1:20:00 PM,,,7/21/2022 12:46:34,,
D060,51,32.2,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20053,RelaxSwab_13-175,7/21/2022,12:47:24 PM,1:20:00 PM,08/01/2022 8:58:00,,7/21/2022 12:47:24,10.84069427,
D138,33.4,25.5,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20055,RelaxSwab_13-175,7/21/2022,12:49:24 PM,1:20:00 PM,7/23/2022 9:41:00,,7/21/2022 12:49:24,1.869169896,
D157,46.8,36,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20056,RelaxSwab_13-175,7/21/2022,12:51:47 PM,1:20:00 PM,07/24/2022 9:58:00,pea crab,7/21/2022 12:51:47,2.879314387,
D156,48,31.6,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20057,RelaxSwab_13-175,7/21/2022,12:53:06 PM,1:20:00 PM,,,7/21/2022 12:53:06,,
D163,58.6,38.6,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20058,RelaxSwab_13-175,7/21/2022,12:55:03 PM,1:20:00 PM,,"reverse forceps to pry open, piece of shell broke off",7/21/2022 12:55:03,,
D165,33.4,19.6,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20060,RelaxSwab_13-175,7/21/2022,12:57:19 PM,1:20:00 PM,7/22/2022 10:46:00,"reverse forceps to pry open, madeline felt hinge pop but still attached",7/21/2022 12:57:19,0.9088130903,
D058,49.5,38.6,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20046,RelaxSwab_14-121,7/21/2022,12:39:39 PM,1:20:00 PM,,,7/21/2022 12:39:39,,YES
D141,36.6,24.1,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20047,RelaxSwab_14-121,7/21/2022,12:40:39 PM,1:20:00 PM,7/22/2022 10:46:00,,7/21/2022 12:40:39,0.920381875,
D130,35,22,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20051,RelaxSwab_14-121,7/21/2022,12:45:11 PM,1:20:00 PM,7/22/2022 10:46:00,"used reverse forceps to pry open a bit, digestive tract punctured",7/21/2022 12:45:11,0.9172314352,
D123,33.9,26.1,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20054,RelaxSwab_14-121,7/21/2022,12:48:56 PM,1:20:00 PM,,,7/21/2022 12:48:56,,
D124,42.5,22.2,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20059,RelaxSwab_14-121,7/21/2022,12:56:28 PM,1:20:00 PM,7/22/2022 10:46:00,,7/21/2022 12:56:28,0.9094030903,
D166,44.6,24.5,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20061,RelaxSwab_14-121,7/21/2022,1:00:49 PM,1:20:00 PM,7/22/2022 10:46:00,,7/21/2022 13:00:49,0.9063750579,
D062,47.5,28.7,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20062,RelaxSwab_14-121,7/21/2022,1:01:27 PM,1:20:00 PM,7/27/2022 16:05:00,,7/21/2022 13:01:27,6.127468738,
D186,40.4,25.7,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20063,RelaxSwab_14-121,7/21/2022,1:06:10 PM,1:20:00 PM,08/01/2022 8:58:00,"isohelix MINI swab, pea crab",7/21/2022 13:06:10,10.82765646,
D052,47.8,29.4,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20064,RelaxSwab_14-121,7/21/2022,1:08:03 PM,1:20:00 PM,7/22/2022 10:46:00,isohelix buccal swab ,7/21/2022 13:08:03,0.9013517708,
D162,60,40,RelaxEpsom,Swab,FlashFreeze,RelaxEpsom_Swab_FlashFreeze,,20065,RelaxSwab_14-121,7/21/2022,1:10:33 PM,1:20:00 PM,,isohelix buccal swab ,7/21/2022 13:10:33,,
